,Text,Tags
1,Tx NNNNNNN,['Receipt_Number']
2,Tx NNNNNNNN,['Receipt_Number']
3,Tx NNNNNNNNN,['Receipt_Number']
4,Tx NNNNNNNNNN,['Receipt_Number']
5,Tx NNNNNNNNNNN,['Receipt_Number']
6,Tx NNNNNNNNNNNN,['Receipt_Number']
7,Tx NNNNNNNNNNNNN,['Receipt_Number']
8,Tx SCO NNNNNNN,['Receipt_Number']
9,Tx SCO NNNNNNNN,['Receipt_Number']
10,Tx SCO NNNNNNNNN,['Receipt_Number']
11,Tx SCO NNNNNNNNNN,['Receipt_Number']
12,Tx SCO NNNNNNNNNNN,['Receipt_Number']
13,Tx SCO NNNNNNNNNNNN,['Receipt_Number']
14,Tx SCO NNNNNNNNNNNNN,['Receipt_Number']
15,Tx Tx SCO NNNNNNN,['Receipt_Number']
16,Tx Tx SCO NNNNNNNN,['Receipt_Number']
17,Tx Tx SCO NNNNNNNNN,['Receipt_Number']
18,Tx Tx SCO NNNNNNNNNN,['Receipt_Number']
19,Tx Tx SCO NNNNNNNNNNN,['Receipt_Number']
20,Tx Tx SCO NNNNNNNNNNNN,['Receipt_Number']
21,Tx Tx SCO NNNNNNNNNNNNN,['Receipt_Number']
22,Tx Tx Tx SCO NNNNNNN,['Receipt_Number']
23,Tx Tx Tx SCO NNNNNNNN,['Receipt_Number']
24,Tx Tx Tx SCO NNNNNNNNN,['Receipt_Number']
25,Tx Tx Tx SCO NNNNNNNNNN,['Receipt_Number']
26,Tx Tx Tx SCO NNNNNNNNNNN,['Receipt_Number']
27,Tx Tx Tx SCO NNNNNNNNNNNN,['Receipt_Number']
28,Tx Tx Tx SCO NNNNNNNNNNNNN,['Receipt_Number']
29,Tx SFS Tx SCO Tx Tx SC Tx Tx  SFS Tx Tx N Tx Tx Tx SPS Tx SPE,['Address']
30,Tx  Tx SCO Tx Tx SC Tx Tx SFS Tx Tx Tx N Tx Tx Tx Tx SH Tx Tx SFS,['Address']
31,Tx  Tx SCO Tx Tx SC Tx Tx SFS Tx Tx Tx N Tx Tx Tx Tx SH Tx Tx SFS,['Address']
32,Tx SFS Tx SCO Tx Tx SC Tx Tx  SFS Tx Tx N Tx Tx Tx SPS Tx SPE,['Address']
33,Tx  Tx SCO Tx Tx SC Tx Tx SFS Tx Tx Tx N Tx Tx Tx Tx SH Tx Tx SFS,['Address']
34,Tx  Tx SCO Tx Tx SC Tx Tx SFS Tx Tx Tx N Tx Tx Tx Tx SH Tx Tx SFS,['Address']
35,Tx SFS Tx SCO Tx Tx SC Tx Tx  SFS Tx SC Tx N Tx Tx Tx SPS Tx SPE,['Address']
36,Tx  Tx SCO Tx Tx SC Tx Tx SFS Tx Tx SC Tx N Tx Tx Tx Tx SH Tx Tx SFS,['Address']
37,Tx  Tx SCO Tx Tx SC Tx Tx SFS Tx Tx SC Tx N Tx Tx Tx Tx SH Tx Tx SFS,['Address']
38,Tx Tx NN QSKG Tx NN QSPC QSMX NN CUR,['Item']
39,Tx Tx NN QSS Tx NN SH NN QSPC QSMX NN CUR,['Item']
40,Tx Tx NN QSG Tx NN QSPC QSMX NN CUR,['Item']
41,Tx Tx Tx NN QSKG Tx NN QSMX NN CUR,['Item']
42,Tx Tx Tx Tx NN QSG  QSPC QSMX NN CUR,['Item']
43,Tx Tx Tx NN QSG NN QSPC QSMX NN CUR,['Item']
44,Tx Tx Tx Tx NN QSG  QSPC QSMS NN CUR,['Item']
45,Tx Tx NN QSG Tx NN QSPC QSMS NN CUR,['Item']
46,Tx Tx NN QSS Tx NN SH NN QSPC QSMS NN CUR,['Item']
47,Tx Tx NN QSKG Tx NN QSPC QSMS NN CUR,['Item']
48,Tx Tx Tx NN QSG Tx NN QSMS NN CUR,['Item']
49,Tx Tx Tx Tx NN QSKG QSPC QSMS NN CUR,['Item']
50,Tx Tx Tx NN QSG NN QSPC QSMS NN CUR,['Item']
51,Tx Tx NN QSS Tx NN SH NN QSPC QSMS NN CUR,['Item']
52,Tx Tx NN QSKG Tx NN QSPC NN QSP NN CUR,['Item']
53,Tx Tx Tx NN QSG Tx NN QSP NN CUR,['Item']
54,Tx Tx Tx Tx NN QSKG NN QSP QSMS NN CUR,['Item']
55,Tx Tx Tx SCO NN NN,['Item']
56,Tx Tx Tx SCO NN NN CUR,['Item']
57,Tx Tx Tx Tx SCO NN NN,['Item']
58,Tx Tx Tx Tx Tx SCO NN NN CUR,['Item']
59,Tx NN CUR,['Total']
60,Tx Tx NN CUR,['Total']
61,TX NN SC NN CUR,['Total']
62,TX Tx NN SC NN CUR,['Total']
63,Tx Tx SFS CUR,['Total']
64,Tx NN SFS NN CUR,['Total']
65,Tx Tx NN SFS NN CUR,['Total']
66,Tx Tx Tx NN SFS NN CUR,['Total']
